u,v,length,from,to,geometry
611243608,10610389691,32.17611185,10610389691,611243608,"LINESTRING (100.3592237 -0.9541887, 100.3591177 -0.9542175, 100.3590409 -0.9542471, 100.3589523 -0.9542872)"
611243615,7205032558,15.34323762,7205032558,611243615,"LINESTRING (100.3617654 -0.9555784, 100.3617757 -0.955716)"
611243615,6116546946,24.54093153,6116546946,611243615,"LINESTRING (100.3617446 -0.9559345, 100.3617757 -0.955716)"
611243615,6116546937,25.47832628,611243615,6116546937,"LINESTRING (100.3617757 -0.955716, 100.3620048 -0.9557106)"
611243615,7205032560,20.19375737,7205032560,611243615,"LINESTRING (100.3615941 -0.9557194, 100.3617757 -0.955716)"
611243618,1359203721,19.86654934,611243618,1359203721,"LINESTRING (100.3600259 -0.9547652, 100.3600713 -0.9548068, 100.3601681 -0.9548727)"
611243618,6082377904,7.897925645,6082377904,611243618,"LINESTRING (100.3599561 -0.954752, 100.3600259 -0.9547652)"
611243618,6082377905,7.084903371,6082377905,611243618,"LINESTRING (100.3599939 -0.9547101, 100.3600259 -0.9547652)"
611249577,6082597824,137.2708851,6082597824,611249577,"LINESTRING (100.3549434 -0.9615958, 100.3539381 -0.9608791)"
611249577,4674335902,47.28514182,4674335902,611249577,"LINESTRING (100.3536738 -0.9605606, 100.3537733 -0.960757, 100.3539381 -0.9608791)"
611249577,1552099284,76.74349412,1552099284,611249577,"LINESTRING (100.3546089 -0.9607189, 100.3544027 -0.960766, 100.3541301 -0.9608443, 100.3539381 -0.9608791)"
611255493,6093176367,51.75175156,611255493,6093176367,"LINESTRING (100.3581981 -0.9638216, 100.3583357 -0.9639532, 100.3584464 -0.964064, 100.3585276 -0.9641502)"
611255493,1543380367,78.97039088,1543380367,611255493,"LINESTRING (100.3576396 -0.9633828, 100.3581981 -0.9638216)"
611255493,6093404920,98.80603342,6093404920,611255493,"LINESTRING (100.3587937 -0.9631621, 100.3581981 -0.9638216)"
611255504,1538345234,91.77476678,1538345234,611255504,"LINESTRING (100.3600132 -0.9592848, 100.3608183 -0.9591026)"
611255504,611255506,55.64817161,611255504,611255506,"LINESTRING (100.3608183 -0.9591026, 100.3606595 -0.9595772)"
611255504,1543401226,144.21326,611255504,1543401226,"LINESTRING (100.3608183 -0.9591026, 100.3610811 -0.9584883, 100.3611964 -0.958196, 100.3612911 -0.957896)"
611255504,1541514857,86.28349198,1541514857,611255504,"LINESTRING (100.3615708 -0.9589128, 100.3608183 -0.9591026)"
611255506,1538345610,70.48907284,611255506,1538345610,"LINESTRING (100.3606595 -0.9595772, 100.3605679 -0.9598704, 100.3604789 -0.9601848)"
611255506,1541514890,77.42559023,1541514890,611255506,"LINESTRING (100.36122 -0.9599852, 100.3609889 -0.9597804, 100.3608397 -0.9596763, 100.3606595 -0.9595772)"
611256887,1794941981,47.65868422,1794941981,611256887,"LINESTRING (100.3574492 -0.9429484, 100.3578774 -0.9429285)"
611256887,1794941979,15.46564936,1794941979,611256887,"LINESTRING (100.3580161 -0.9429179, 100.3578774 -0.9429285)"
611256887,1563675093,312.6799926,1563675093,611256887,"LINESTRING (100.3579522 -0.9457395, 100.3578774 -0.9429285)"
611256888,7202908063,7.612409871,7202908063,611256888,"LINESTRING (100.3619514 -0.9426666, 100.3618833 -0.9426737)"
611256888,7202908062,52.11667482,611256888,7202908062,"LINESTRING (100.3618833 -0.9426737, 100.3618313 -0.9423669, 100.3618339 -0.9422094)"
611256888,1794941974,240.5257579,1794941974,611256888,"LINESTRING (100.3597234 -0.9427882, 100.3598285 -0.9427888, 100.3602601 -0.942772, 100.3605405 -0.9427611, 100.3614271 -0.942711, 100.3615959 -0.9426956, 100.3618833 -0.9426737)"
611256888,1622095807,121.7822358,1622095807,611256888,"LINESTRING (100.3620807 -0.9437498, 100.3620085 -0.9434676, 100.3619982 -0.9434174, 100.3619831 -0.9433227, 100.3619716 -0.9432728, 100.3619149 -0.9428967, 100.3618833 -0.9426737)"
611262197,6082492975,26.01573166,6082492975,611262197,"LINESTRING (100.3635165 -0.9557635, 100.3636157 -0.9559754)"
611262197,1541499834,43.77463145,1541499834,611262197,"LINESTRING (100.3635918 -0.9563622, 100.3636238 -0.9562329, 100.3636372 -0.9561591, 100.3636359 -0.9560907, 100.3636157 -0.9559754)"
611262197,6082510491,74.82606,6082510491,611262197,"LINESTRING (100.3629452 -0.9559265, 100.3631276 -0.9559365, 100.3632644 -0.9559553, 100.3634367 -0.9559734, 100.3636157 -0.9559754)"
