osmid,y,x,geometry,status,ETA
6076331847,-0.8812144,100.3742453,POINT (100.3742453 -0.8812144),intersection,60.442092
6076332209,-0.8823542,100.3727279,POINT (100.3727279 -0.8823542),intersection,60.36338572
6076332210,-0.8806231,100.3733146,POINT (100.3733146 -0.8806231),intersection,60.40767468
6076334228,-0.8932912,100.3714632,POINT (100.3714632 -0.8932912),intersection,60.21453089
6076334230,-0.8938502,100.368872,POINT (100.368872 -0.8938502),intersection,60.0949176
6076334237,-0.8926175,100.3706411,POINT (100.3706411 -0.8926175),intersection,60.18725657
6076334238,-0.8923831,100.37045,POINT (100.37045 -0.8923831),intersection,60.18189776
6076334239,-0.8928711,100.3698537,POINT (100.3698537 -0.8928711),intersection,60.14985917
6076338444,-0.8900539,100.3439579,POINT (100.3439579 -0.8900539),intersection,59.01785456
6076338448,-0.8899467,100.3440947,POINT (100.3440947 -0.8899467),intersection,59.02516133
6076338450,-0.8898918,100.3443751,POINT (100.3443751 -0.8898918),intersection,59.03801572
6076338451,-0.8886795,100.3457616,POINT (100.3457616 -0.8886795),intersection,59.11204341
6076353701,-0.8750725,100.3829692,POINT (100.3829692 -0.8750725),intersection,59.85833113
6076353702,-0.8759704,100.3811971,POINT (100.3811971 -0.8759704),intersection,60.80384415
6076353703,-0.8761248,100.3814803,POINT (100.3814803 -0.8761248),intersection,60.81410227
6076353707,-0.8754685,100.3814617,POINT (100.3814617 -0.8754685),intersection,59.78913487
6076376844,-0.8773083,100.3810977,POINT (100.3810977 -0.8773083),intersection,60.78402133
6076376848,-0.8778196,100.3803277,POINT (100.3803277 -0.8778196),intersection,60.74584722
6076376853,-0.8794672,100.3782847,POINT (100.3782847 -0.8794672),intersection,60.63785551
6076376854,-0.8794806,100.3780621,POINT (100.3780621 -0.8794806),intersection,60.62804064
6076376917,-0.8773109,100.3811563,POINT (100.3811563 -0.8773109),intersection,60.78652521
6076376923,-0.8760255,100.3828056,POINT (100.3828056 -0.8760255),intersection,60.87276357
6076376937,-0.8768618,100.3819734,POINT (100.3819734 -0.8768618),intersection,60.82771295
6076377373,-0.8797803,100.3785054,POINT (100.3785054 -0.8797803),intersection,60.64338289
6076394610,-0.8928538,100.3747456,POINT (100.3747456 -0.8928538),intersection,60.36266413
6076394611,-0.8932673,100.3739412,POINT (100.3739412 -0.8932673),intersection,60.32252884
6076394614,-0.8928699,100.3737464,POINT (100.3737464 -0.8928699),intersection,60.31903516
6076394615,-0.8923134,100.3739154,POINT (100.3739154 -0.8923134),intersection,60.33335191
6076394616,-0.8924974,100.3735637,POINT (100.3735637 -0.8924974),intersection,60.31576165
6076394617,-0.8926433,100.3732073,POINT (100.3732073 -0.8926433),intersection,60.29844482
6076394621,-0.8923322,100.3730249,POINT (100.3730249 -0.8923322),intersection,60.29441916
6076394622,-0.8916778,100.3726977,POINT (100.3726977 -0.8916778),intersection,60.28245993
6076394623,-0.8919674,100.3728452,POINT (100.3728452 -0.8919674),intersection,60.29118923
6076394625,-0.8916633,100.3734741,POINT (100.3734741 -0.8916633),intersection,60.32233412
6076394627,-0.8914941,100.3730692,POINT (100.3730692 -0.8914941),intersection,60.30090761
6076394628,-0.890192,100.3726186,POINT (100.3726186 -0.890192),intersection,60.27398472
6076394631,-0.890597,100.373387,POINT (100.373387 -0.890597),intersection,60.30224254
6076394636,-0.8910013,100.3733186,POINT (100.3733186 -0.8910013),intersection,60.29418535
6076394637,-0.8911864,100.372919,POINT (100.372919 -0.8911864),intersection,60.27450616
